frequency [Hz], energy flux nu*F_nu [erg/(cm²s)]
708416375452579100, 5.633726358923133e-10
688351514494968400, 5.427270664167446e-10
741460227964096300, 9.916582487180877e-10
761307071161240000, 9.091019660638102e-10
754851725351669100, 8.385518141394196e-10
777431247778194400, 6.705411473456169e-10
771652299581147000, 6.070849156859421e-10
765286539721509600, 5.669739662384056e-10
805711173423343600, 1.013001465066446e-9
822486712772551400, 9.187106611862059e-10
846435349567465500, 7.048332553709327e-10
840208360282426900, 6.407803503046302e-10
815780350841804800, 5.922526572512004e-10
877388002682328300, 1.075444797346704e-9
870933303343133400, 9.777119463729767e-10
921991369162284900, 7.595215140894763e-10
915137849477100500, 6.876446824597435e-10
889217904169422300, 6.624449919498521e-10
955529829881337200, 1.1474260894619713e-9
948456307948762000, 1.0405626785934967e-9
921521487014598900, 9.982864754958404e-10
1005584161092853000, 8.133862873047096e-10
996980510866769700, 7.471630088006236e-10
977159059315654700, 6.934583320853501e-10
1034836135837481300, 1.2257331259261336e-9
1040185124868262900, 1.109765585906734e-9
1017479055713356800, 1.049370182993332e-9
1095917617327371400, 1.3125814846073284e-9
1093229175558977900, 8.517999908720727e-10
1085220120191089700, 7.756752706195671e-10
1054319963651949800, 7.410851282924858e-10
1124274973112569000, 1.1485250046599141e-9
1092115156507758600, 1.0893833280029417e-9
1200511660873427700, 1.417960956544682e-9
1159394909128100000, 1.3291468290647183e-9
1190263218794126800, 8.953618474689093e-10
1181452030780537000, 8.11973974506307e-10
1180266343195408400, 7.694100232041596e-10
1188774834101296600, 1.1309549560189959e-9
1308765143204010500, 1.4821703379561903e-9
1280122117564746000, 1.3971611210578426e-9
1297818091779120600, 9.446690936960517e-10
1286714125198547000, 8.677571940704274e-10
1284926479048864300, 8.054155369257324e-10
1265963207692628000, 7.695214576360886e-10
1422225105067306800, 1.5168953425491168e-9
1373705780435932700, 1.4325247253958644e-9
1413011264120753200, 9.929803639848863e-10
1400921719403991600, 9.121351171204951e-10
1399083461075835100, 8.501190468699591e-10
1371267606365112300, 7.890140831018344e-10
1548604058495935000, 1.602415434248932e-9
1495634676106905600, 1.5057853937779208e-9
1535455201422162700, 1.014352035894637e-9
1524441844865094700, 9.313836288559197e-10
1480120600828060700, 8.608479159012039e-10
1577139699163277300, 1.2813287965854896e-9
1677405919747818000, 1.7267274026913577e-9
1662990024044170800, 1.58286144973581e-9
1674202401667880400, 1.0702120278478865e-9
1629140682150228500, 9.830408643199318e-10
1835709658661227000, 1.7705044652010572e-9
1822627130803071200, 1.6297320077890697e-9
1819532702496072700, 1.1014269388012807e-9
1757377753719494700, 1.0375831946986526e-9
1998645605092254500, 1.8610497369123016e-9
1984401883769657300, 1.7130780429796692e-9
1969438082302896400, 1.1415520814939916e-9
2175640263900399900, 1.9368760875363135e-9
2144781964346187500, 1.771073776668798e-9
2143415722508297500, 1.1753378816049526e-9
2288150179468996600, 1.4304764963325373e-9
2354847810307888000, 2.0057745449045004e-9
2334609870265029600, 1.8386591879194322e-9
2334339406392065000, 1.2547845128954127e-9
2267040407705749000, 1.1754740599321618e-9
2493987804287450600, 1.4795432225635106e-9
2438981651998170000, 1.3817477108962926e-9
2561486776414009000, 2.006123147980536e-9
2557928074536398000, 1.8619986828236442e-9
2470549656864149000, 1.2985524111500284e-9
